evidence_id,source_document_id,source_document_version,source_document_hash,project_id,bom_version,bom_line_id,material_code,related_event_id,source_type,file_name,page_or_location,original_text,extracted_field,extracted_value,confidence,evidence_rank
EVD-PO-1001,SRC-PO-EUA-001,v1,sha256:simulated-po-eua-001,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-001,purchase_order,po_EU-A_001.pdf,line 12,MAT-ECAB-001 confirmed quantity 4 SET,purchase_order_quantity,4,0.99,high
EVD-MES-1001,SRC-MES-EUA-0727,v1,sha256:simulated-mes-eua-0727,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-002,mes_record,mes_completion_20260727.json,record 31,MAT-ECAB-001 production completed quantity 4 SET,production_quantity,4,0.99,high
EVD-QMS-1001,SRC-QMS-EUA-0728,v1,sha256:simulated-qms-eua-0728,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-003,quality_release,qms_release_20260728.pdf,line 7,MAT-ECAB-001 quality released quantity 4 SET,quality_release_quantity,4,0.99,high
EVD-WMS-1001,SRC-WMS-EUA-0728,v1,sha256:simulated-wms-eua-0728,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-004,wms_export,wms_outbound_20260728.xlsx,row 18,MAT-ECAB-001 outbound qty 4 SET,outbound_quantity,4,0.99,high
EVD-TR-1001-A,SRC-TR-EUA-001,v1,sha256:simulated-tr-eua-001,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-005,transfer_order,transfer_order_001.pdf,line 8,PKG-A17 transferred from Guangzhou Plant to Suzhou Integration Plant,transfer_status,confirmed,0.97,high
EVD-TR-1001-B,SRC-TR-EUA-002,v1,sha256:simulated-tr-eua-002,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-006,transfer_order,transfer_order_002.pdf,line 6,PKG-A17 transferred from Suzhou Integration Plant to Shanghai Port,transfer_status,confirmed,0.97,high
EVD-PL-1001,SRC-PL-EUA-001,v3,sha256:simulated-pl-eua-001-v3,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-007,packing_list,packing_list_EU-A.pdf,page 2 line 16,PKG-A17 Control Cabinet 4 SET in CONT-7781,package_quantity,4,0.96,high
EVD-INV-1001,SRC-INV-EUA-001,v1,sha256:simulated-inv-eua-001,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,,commercial_invoice,invoice_EU-A.pdf,page 1 line 12,Electrical cabinet quantity 4 SET,invoice_quantity,4,0.98,high
EVD-BL-1001,SRC-BL-CONT-7781,v1,sha256:simulated-bl-cont-7781,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-008,bill_of_lading,bill_of_lading_CONT-7781.pdf,page 1 line 22,PKG-A17 Control Cabinet 4 SET loaded on board in CONT-7781,shipment_status,loaded_on_board,0.99,high
EVD-CAR-1001,SRC-CAR-CONT-7781,v1,sha256:simulated-car-cont-7781,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-009,carrier_event,carrier_status_CONT-7781.json,event 28,CONT-7781 arrived at Hamburg Port at 2026-08-08 07:40 CEST,port_arrival,2026-08-08 07:40,0.98,high
EVD-CD-1001,SRC-CD-EUA-001,v1,sha256:simulated-cd-eua-001,EU-A,BOM-V1,BL-1001,MAT-ECAB-001,EVT-010,customs_draft,customs_draft_EU-A.pdf,page 1 table 3,Electrical cabinet qty 3 SET,declared_quantity,3,0.93,medium
EVD-ASN-1002,SRC-ASN-1002,v1,sha256:simulated-asn-1002,EU-A,BOM-V1,BL-1002,MAT-SERVO-014,EVT-011,supplier_asn,asn_1002.xml,line 4,MAT-SERVO-014 ASN confirmed quantity 8 PCS,asn_quantity,8,0.98,high
EVD-RES-1002,SRC-WMS-RES-1002,v1,sha256:simulated-wms-res-1002,EU-A,BOM-V1,BL-1002,MAT-SERVO-014,EVT-012,wms_reservation,wms_reservation_1002.json,record 9,MAT-SERVO-014 inventory reserved quantity 8 PCS,reserved_quantity,8,0.99,high
EVD-PL-1002-A,SRC-PL-EUA-001,v3,sha256:simulated-pl-eua-001-v3,EU-A,BOM-V1,BL-1002,MAT-SERVO-014,EVT-013,packing_list,packing_list_EU-A.pdf,page 2 line 18,PKG-A18-1 Servo Drive 4 PCS in CONT-7781,package_quantity,4,0.97,high
EVD-PL-1002-B,SRC-PL-EUA-001,v3,sha256:simulated-pl-eua-001-v3,EU-A,BOM-V1,BL-1002,MAT-SERVO-014,EVT-014,packing_list,packing_list_EU-A.pdf,page 2 line 19,PKG-A18-2 Servo Drive 4 PCS in CONT-7781,package_quantity,4,0.97,high
EVD-BL-1002,SRC-BL-CONT-7781,v1,sha256:simulated-bl-cont-7781,EU-A,BOM-V1,BL-1002,MAT-SERVO-014,EVT-015,bill_of_lading,bill_of_lading_CONT-7781.pdf,page 1 line 24,PKG-A18-1 and PKG-A18-2 Servo Drive total 8 PCS loaded on board,shipment_status,loaded_on_board,0.98,high
EVD-MES-2001,SRC-MES-EUA-0731,v1,sha256:simulated-mes-eua-0731,EU-A,BOM-V1,BL-2001,MAT-GUN-032,EVT-016,mes_record,mes_completion_20260731.json,record 42,MAT-GUN-032 production completed quantity 2 PCS,production_quantity,2,0.99,high
EVD-QMS-2001,SRC-QMS-EUA-0801,v1,sha256:simulated-qms-eua-0801,EU-A,BOM-V1,BL-2001,MAT-GUN-032,EVT-017,quality_release,qms_release_20260801.pdf,line 11,MAT-GUN-032 quality released quantity 2 PCS,quality_release_quantity,2,0.99,high
EVD-TR-2001-A,SRC-TR-EUA-019,v1,sha256:simulated-tr-eua-019,EU-A,BOM-V1,BL-2001,MAT-GUN-032,EVT-018,transfer_order,transfer_order_019.pdf,line 6,PKG-A19 transferred from Guangzhou Plant to Suzhou Integration Plant,transfer_status,confirmed,0.96,high
EVD-TR-2001-B,SRC-TR-EUA-020,v1,sha256:simulated-tr-eua-020,EU-A,BOM-V1,BL-2001,MAT-GUN-032,EVT-019,transfer_order,transfer_order_020.pdf,line 5,PKG-A19 transferred from Suzhou Integration Plant to Shanghai Port,transfer_status,confirmed,0.96,high
EVD-PL-2001,SRC-PL-EUA-001,v3,sha256:simulated-pl-eua-001-v3,EU-A,BOM-V1,BL-2001,MAT-GUN-032,EVT-020,packing_list,packing_list_EU-A.pdf,page 3 line 9,PKG-A19 FlexGun 2 PCS in CONT-7782,package_quantity,2,0.95,high
EVD-CUS-3001-V1,SRC-CUS-041-V1,v1,sha256:simulated-cus-041-v1,EU-A,BOM-V1,BL-3001,MAT-BASE-009,EVT-021,customs_receipt,customs_declaration_041_v1.pdf,line 5,Robot base quantity 5 PCS declared,customs_quantity,5,0.99,high
EVD-CUS-3001-V2,SRC-CUS-041-V2,v2,sha256:simulated-cus-041-v2,EU-A,BOM-V1,BL-3001,MAT-BASE-009,EVT-022,customs_receipt,customs_declaration_041_v2.pdf,line 5,Correction of declaration 041 Robot base quantity 6 PCS,customs_quantity,6,0.99,high
EVD-REL-3001,SRC-CUS-042,v1,sha256:simulated-cus-042,EU-A,BOM-V1,BL-3001,MAT-BASE-009,EVT-023,customs_release,customs_release_042.pdf,line 4,Robot base shipment released by customs,customs_status,released,0.99,high
EVD-POD-3001,SRC-POD-006,v1,sha256:simulated-pod-006,EU-A,BOM-V1,BL-3001,MAT-BASE-009,EVT-024,proof_of_delivery,pod_006.pdf,signature block,Robot base quantity 6 PCS received at project site,delivery_status,signed,0.98,high
EVD-INSTALL-3001,SRC-MES-INSTALL-006,v1,sha256:simulated-mes-install-006,EU-A,BOM-V1,BL-3001,MAT-BASE-009,EVT-025,installation_record,installation_consumption_006.json,record 16,Robot base quantity 6 PCS issued to General Assembly Fixture Area,installation_quantity,6,0.99,high
EVD-PO-4001,SRC-PO-EUA-001,v1,sha256:simulated-po-eua-001,EU-A,BOM-V1,BL-4001,MAT-CABLE-120,EVT-026,purchase_order,po_EU-A_001.pdf,line 28,MAT-CABLE-120 confirmed quantity 12 SET,purchase_order_quantity,12,0.99,high
EVD-RES-4001,SRC-WMS-RES-4001,v1,sha256:simulated-wms-res-4001,EU-A,BOM-V1,BL-4001,MAT-CABLE-120,EVT-027,wms_reservation,wms_reservation_4001.json,record 17,MAT-CABLE-120 inventory reserved quantity 12 SET,reserved_quantity,12,0.99,high
EVD-MAIL-4001,SRC-MAIL-117,v1,sha256:simulated-mail-117,EU-A,BOM-V1,BL-4001,MAT-CABLE-120,EVT-028,freight_email,forwarder_update_20260803.eml,paragraph 2,MAT-CABLE-120 12 SET packed as PKG-C09 in CONT-7784 at Shanghai Port and planned loading to Hamburg at 2026-08-08 09:00 CST,shipment_plan,planned_loading,0.96,medium
